timestamp,ds,y,scenario,cpu_utilization_pct,p95_latency_ms,p99_latency_ms,active_replicas,is_spike
2026-09-19T12:00:00+00:00,2026-09-19 12:00:00,14.65,GRADUAL,20.0,49.9,67.4,1,0
2026-09-19T12:00:01+00:00,2026-09-19 12:00:01,17.5,GRADUAL,20.0,47.3,63.8,1,0
2026-09-19T12:00:02+00:00,2026-09-19 12:00:02,15.15,GRADUAL,20.0,49.3,66.6,1,0
2026-09-19T12:00:03+00:00,2026-09-19 12:00:03,17.24,GRADUAL,20.0,51.1,69.0,1,0
2026-09-19T12:00:04+00:00,2026-09-19 12:00:04,17.35,GRADUAL,20.0,48.2,65.0,1,0
2026-09-19T12:00:05+00:00,2026-09-19 12:00:05,17.75,GRADUAL,20.0,40.7,54.9,1,0
2026-09-19T12:00:06+00:00,2026-09-19 12:00:06,22.47,GRADUAL,20.0,50.2,67.8,1,0
2026-09-19T12:00:07+00:00,2026-09-19 12:00:07,15.97,GRADUAL,20.0,45.8,61.8,1,0
2026-09-19T12:00:08+00:00,2026-09-19 12:00:08,21.32,GRADUAL,20.0,47.4,64.0,1,0
2026-09-19T12:00:09+00:00,2026-09-19 12:00:09,19.81,GRADUAL,20.0,49.0,66.1,1,0
2026-09-19T12:00:10+00:00,2026-09-19 12:00:10,18.15,GRADUAL,20.0,45.1,60.9,1,0
2026-09-19T12:00:11+00:00,2026-09-19 12:00:11,20.73,GRADUAL,20.0,48.4,65.3,1,0
2026-09-19T12:00:12+00:00,2026-09-19 12:00:12,21.43,GRADUAL,20.0,49.2,66.5,1,0
2026-09-19T12:00:13+00:00,2026-09-19 12:00:13,19.62,GRADUAL,20.0,46.3,62.6,1,0
2026-09-19T12:00:14+00:00,2026-09-19 12:00:14,24.58,GRADUAL,20.0,46.2,62.3,1,0
2026-09-19T12:00:15+00:00,2026-09-19 12:00:15,22.4,GRADUAL,20.0,46.2,62.3,1,0
2026-09-19T12:00:16+00:00,2026-09-19 12:00:16,25.47,GRADUAL,20.0,48.2,65.1,1,0
2026-09-19T12:00:17+00:00,2026-09-19 12:00:17,23.09,GRADUAL,20.0,44.8,60.5,1,0
2026-09-19T12:00:18+00:00,2026-09-19 12:00:18,23.37,GRADUAL,20.0,44.3,59.8,1,0
2026-09-19T12:00:19+00:00,2026-09-19 12:00:19,27.31,GRADUAL,20.0,45.4,61.2,1,0
2026-09-19T12:00:20+00:00,2026-09-19 12:00:20,26.99,GRADUAL,20.0,49.7,67.0,1,0
2026-09-19T12:00:21+00:00,2026-09-19 12:00:21,27.22,GRADUAL,20.0,47.2,63.8,1,0
2026-09-19T12:00:22+00:00,2026-09-19 12:00:22,26.26,GRADUAL,20.0,46.3,62.6,1,0
2026-09-19T12:00:23+00:00,2026-09-19 12:00:23,25.59,GRADUAL,20.0,47.6,64.2,1,0
2026-09-19T12:00:24+00:00,2026-09-19 12:00:24,27.9,GRADUAL,20.0,48.4,65.3,1,0
2026-09-19T12:00:25+00:00,2026-09-19 12:00:25,27.57,GRADUAL,20.0,48.3,65.3,1,0
2026-09-19T12:00:26+00:00,2026-09-19 12:00:26,28.17,GRADUAL,20.0,46.3,62.4,1,0
2026-09-19T12:00:27+00:00,2026-09-19 12:00:27,31.52,GRADUAL,20.0,43.9,59.3,1,0
2026-09-19T12:00:28+00:00,2026-09-19 12:00:28,29.8,GRADUAL,20.0,50.5,68.2,1,0
2026-09-19T12:00:29+00:00,2026-09-19 12:00:29,30.37,GRADUAL,20.0,47.8,64.5,1,0
