timestamp,ds,y,scenario,cpu_utilization_pct,p95_latency_ms,p99_latency_ms,active_replicas,is_spike
2026-09-19T12:00:00+00:00,2026-09-19 12:00:00,62.6,NOISY,31.1,60.7,82.0,2,0
2026-09-19T12:00:01+00:00,2026-09-19 12:00:01,66.45,NOISY,36.8,58.9,79.5,2,0
2026-09-19T12:00:02+00:00,2026-09-19 12:00:02,50.41,NOISY,25.6,65.4,88.3,2,0
2026-09-19T12:00:03+00:00,2026-09-19 12:00:03,25.99,NOISY,25.0,69.8,94.3,1,0
2026-09-19T12:00:04+00:00,2026-09-19 12:00:04,62.7,NOISY,33.6,75.8,102.3,2,0
2026-09-19T12:00:05+00:00,2026-09-19 12:00:05,45.61,NOISY,25.0,72.1,97.4,2,0
2026-09-19T12:00:06+00:00,2026-09-19 12:00:06,52.91,NOISY,25.9,62.0,83.7,2,0
2026-09-19T12:00:07+00:00,2026-09-19 12:00:07,84.59,NOISY,46.4,67.2,90.7,3,0
2026-09-19T12:00:08+00:00,2026-09-19 12:00:08,46.2,NOISY,25.9,74.0,99.9,2,0
2026-09-19T12:00:09+00:00,2026-09-19 12:00:09,62.6,NOISY,34.6,69.6,94.0,2,0
2026-09-19T12:00:10+00:00,2026-09-19 12:00:10,71.78,NOISY,36.6,59.0,79.7,3,0
2026-09-19T12:00:11+00:00,2026-09-19 12:00:11,93.0,NOISY,56.9,77.3,104.4,3,0
2026-09-19T12:00:12+00:00,2026-09-19 12:00:12,59.74,NOISY,34.6,63.9,86.3,2,0
2026-09-19T12:00:13+00:00,2026-09-19 12:00:13,38.08,NOISY,25.0,65.3,88.2,2,0
2026-09-19T12:00:14+00:00,2026-09-19 12:00:14,53.17,NOISY,25.0,63.3,85.5,2,0
2026-09-19T12:00:15+00:00,2026-09-19 12:00:15,55.69,NOISY,27.2,72.8,98.3,2,0
2026-09-19T12:00:16+00:00,2026-09-19 12:00:16,42.57,NOISY,25.0,74.9,101.1,2,0
2026-09-19T12:00:17+00:00,2026-09-19 12:00:17,48.01,NOISY,25.0,72.0,97.2,2,0
2026-09-19T12:00:18+00:00,2026-09-19 12:00:18,45.46,NOISY,25.0,73.8,99.7,2,0
2026-09-19T12:00:19+00:00,2026-09-19 12:00:19,94.97,NOISY,49.3,67.5,91.1,3,0
2026-09-19T12:00:20+00:00,2026-09-19 12:00:20,45.27,NOISY,25.0,64.5,87.1,2,0
2026-09-19T12:00:21+00:00,2026-09-19 12:00:21,68.07,NOISY,40.2,57.7,78.0,2,0
2026-09-19T12:00:22+00:00,2026-09-19 12:00:22,27.37,NOISY,25.0,55.7,75.2,1,0
2026-09-19T12:00:23+00:00,2026-09-19 12:00:23,37.81,NOISY,25.0,63.6,85.8,2,0
2026-09-19T12:00:24+00:00,2026-09-19 12:00:24,40.86,NOISY,26.4,61.0,82.4,2,0
2026-09-19T12:00:25+00:00,2026-09-19 12:00:25,44.44,NOISY,25.0,66.9,90.3,2,0
2026-09-19T12:00:26+00:00,2026-09-19 12:00:26,61.6,NOISY,30.8,68.3,92.2,2,0
2026-09-19T12:00:27+00:00,2026-09-19 12:00:27,88.31,NOISY,44.5,66.2,89.4,3,0
2026-09-19T12:00:28+00:00,2026-09-19 12:00:28,52.13,NOISY,30.6,65.0,87.8,2,0
2026-09-19T12:00:29+00:00,2026-09-19 12:00:29,65.44,NOISY,36.2,65.0,87.8,2,0
2026-09-19T12:00:30+00:00,2026-09-19 12:00:30,48.85,NOISY,26.4,61.0,82.4,2,0
2026-09-19T12:00:31+00:00,2026-09-19 12:00:31,56.67,NOISY,31.8,75.7,102.2,2,0
2026-09-19T12:00:32+00:00,2026-09-19 12:00:32,54.77,NOISY,29.7,67.4,91.0,2,0
2026-09-19T12:00:33+00:00,2026-09-19 12:00:33,71.05,NOISY,41.5,56.7,76.5,3,0
2026-09-19T12:00:34+00:00,2026-09-19 12:00:34,27.61,NOISY,25.0,62.1,83.9,1,0
2026-09-19T12:00:35+00:00,2026-09-19 12:00:35,61.37,NOISY,31.0,63.7,86.0,2,0
2026-09-19T12:00:36+00:00,2026-09-19 12:00:36,72.01,NOISY,36.6,73.0,98.5,3,0
2026-09-19T12:00:37+00:00,2026-09-19 12:00:37,108.41,NOISY,57.3,61.5,83.0,4,0
2026-09-19T12:00:38+00:00,2026-09-19 12:00:38,86.82,NOISY,46.6,65.0,87.8,3,0
2026-09-19T12:00:39+00:00,2026-09-19 12:00:39,81.08,NOISY,46.6,72.2,97.5,3,0
2026-09-19T12:00:40+00:00,2026-09-19 12:00:40,91.29,NOISY,51.9,62.2,84.0,3,0
2026-09-19T12:00:41+00:00,2026-09-19 12:00:41,58.07,NOISY,32.5,62.0,83.7,2,0
2026-09-19T12:00:42+00:00,2026-09-19 12:00:42,59.98,NOISY,32.0,65.4,88.3,2,0
2026-09-19T12:00:43+00:00,2026-09-19 12:00:43,104.28,NOISY,51.7,65.7,88.6,3,0
2026-09-19T12:00:44+00:00,2026-09-19 12:00:44,53.16,NOISY,30.0,67.9,91.6,2,0
2026-09-19T12:00:45+00:00,2026-09-19 12:00:45,63.4,NOISY,29.9,66.8,90.2,2,0
2026-09-19T12:00:46+00:00,2026-09-19 12:00:46,69.01,NOISY,41.5,69.9,94.4,2,0
2026-09-19T12:00:47+00:00,2026-09-19 12:00:47,99.71,NOISY,53.4,57.6,77.8,3,0
2026-09-19T12:00:48+00:00,2026-09-19 12:00:48,93.1,NOISY,50.1,63.3,85.4,3,0
2026-09-19T12:00:49+00:00,2026-09-19 12:00:49,73.91,NOISY,34.0,68.4,92.3,3,0
2026-09-19T12:00:50+00:00,2026-09-19 12:00:50,108.23,NOISY,56.8,76.9,103.8,4,0
2026-09-19T12:00:51+00:00,2026-09-19 12:00:51,94.94,NOISY,56.7,68.8,92.9,3,0
2026-09-19T12:00:52+00:00,2026-09-19 12:00:52,50.68,NOISY,28.3,77.9,105.2,2,0
2026-09-19T12:00:53+00:00,2026-09-19 12:00:53,85.87,NOISY,50.8,75.5,101.9,3,0
2026-09-19T12:00:54+00:00,2026-09-19 12:00:54,79.0,NOISY,40.5,69.8,94.2,3,0
2026-09-19T12:00:55+00:00,2026-09-19 12:00:55,95.68,NOISY,49.6,65.1,87.9,3,0
2026-09-19T12:00:56+00:00,2026-09-19 12:00:56,112.2,NOISY,63.2,72.9,98.4,4,1
2026-09-19T12:00:57+00:00,2026-09-19 12:00:57,84.78,NOISY,40.8,68.4,92.4,3,0
2026-09-19T12:00:58+00:00,2026-09-19 12:00:58,54.7,NOISY,28.3,75.2,101.5,2,0
2026-09-19T12:00:59+00:00,2026-09-19 12:00:59,71.18,NOISY,42.9,78.7,106.3,3,0
2026-09-19T12:01:00+00:00,2026-09-19 12:01:00,78.68,NOISY,43.3,73.1,98.8,3,0
2026-09-19T12:01:01+00:00,2026-09-19 12:01:01,74.13,NOISY,36.7,68.1,92.0,3,0
2026-09-19T12:01:02+00:00,2026-09-19 12:01:02,76.49,NOISY,41.4,70.8,95.6,3,0
2026-09-19T12:01:03+00:00,2026-09-19 12:01:03,57.85,NOISY,30.0,58.3,78.7,2,0
2026-09-19T12:01:04+00:00,2026-09-19 12:01:04,93.91,NOISY,51.4,70.1,94.6,3,0
2026-09-19T12:01:05+00:00,2026-09-19 12:01:05,66.59,NOISY,34.1,61.6,83.2,2,0
2026-09-19T12:01:06+00:00,2026-09-19 12:01:06,86.74,NOISY,44.1,64.8,87.4,3,0
2026-09-19T12:01:07+00:00,2026-09-19 12:01:07,63.49,NOISY,33.9,68.3,92.2,2,0
2026-09-19T12:01:08+00:00,2026-09-19 12:01:08,68.28,NOISY,34.8,73.1,98.6,2,0
