timestamp,ds,y,scenario,cpu_utilization_pct,p95_latency_ms,p99_latency_ms,active_replicas,is_spike
2026-09-19T12:00:00+00:00,2026-09-19 12:00:00,87.35,PERIODIC,44.5,56.8,76.7,3,0
2026-09-19T12:00:01+00:00,2026-09-19 12:00:01,85.0,PERIODIC,44.8,56.6,76.4,3,0
2026-09-19T12:00:02+00:00,2026-09-19 12:00:02,87.15,PERIODIC,45.3,47.0,63.5,3,0
2026-09-19T12:00:03+00:00,2026-09-19 12:00:03,95.57,PERIODIC,50.9,53.3,72.0,4,0
2026-09-19T12:00:04+00:00,2026-09-19 12:00:04,98.97,PERIODIC,54.7,52.5,70.8,4,0
2026-09-19T12:00:05+00:00,2026-09-19 12:00:05,98.38,PERIODIC,52.5,56.6,76.4,4,0
2026-09-19T12:00:06+00:00,2026-09-19 12:00:06,105.44,PERIODIC,59.0,50.2,67.7,4,1
2026-09-19T12:00:07+00:00,2026-09-19 12:00:07,105.95,PERIODIC,55.0,51.9,70.1,4,1
2026-09-19T12:00:08+00:00,2026-09-19 12:00:08,114.94,PERIODIC,58.9,51.3,69.3,4,1
2026-09-19T12:00:09+00:00,2026-09-19 12:00:09,112.79,PERIODIC,62.6,51.0,68.8,4,1
2026-09-19T12:00:10+00:00,2026-09-19 12:00:10,117.09,PERIODIC,59.7,50.3,67.9,4,1
2026-09-19T12:00:11+00:00,2026-09-19 12:00:11,120.92,PERIODIC,65.2,47.8,64.6,5,1
2026-09-19T12:00:12+00:00,2026-09-19 12:00:12,122.15,PERIODIC,63.8,48.5,65.5,5,1
2026-09-19T12:00:13+00:00,2026-09-19 12:00:13,127.06,PERIODIC,69.0,49.4,66.7,5,1
2026-09-19T12:00:14+00:00,2026-09-19 12:00:14,130.33,PERIODIC,69.8,51.1,69.0,5,1
2026-09-19T12:00:15+00:00,2026-09-19 12:00:15,126.9,PERIODIC,63.6,49.3,66.6,5,1
2026-09-19T12:00:16+00:00,2026-09-19 12:00:16,132.22,PERIODIC,71.4,53.0,71.6,5,1
2026-09-19T12:00:17+00:00,2026-09-19 12:00:17,133.13,PERIODIC,69.7,51.2,69.2,5,1
2026-09-19T12:00:18+00:00,2026-09-19 12:00:18,136.07,PERIODIC,71.0,47.8,64.5,5,1
2026-09-19T12:00:19+00:00,2026-09-19 12:00:19,140.14,PERIODIC,75.4,45.1,60.9,5,1
2026-09-19T12:00:20+00:00,2026-09-19 12:00:20,140.0,PERIODIC,74.0,49.8,67.2,5,1
2026-09-19T12:00:21+00:00,2026-09-19 12:00:21,141.54,PERIODIC,72.9,53.4,72.1,5,1
2026-09-19T12:00:22+00:00,2026-09-19 12:00:22,144.1,PERIODIC,76.5,53.7,72.6,5,1
2026-09-19T12:00:23+00:00,2026-09-19 12:00:23,142.19,PERIODIC,77.3,50.2,67.8,5,1
2026-09-19T12:00:24+00:00,2026-09-19 12:00:24,145.7,PERIODIC,75.3,48.6,65.6,5,1
2026-09-19T12:00:25+00:00,2026-09-19 12:00:25,146.34,PERIODIC,80.0,48.4,65.4,5,1
2026-09-19T12:00:26+00:00,2026-09-19 12:00:26,149.45,PERIODIC,79.2,55.3,74.6,5,1
2026-09-19T12:00:27+00:00,2026-09-19 12:00:27,150.29,PERIODIC,85.5,49.8,67.2,5,1
2026-09-19T12:00:28+00:00,2026-09-19 12:00:28,149.38,PERIODIC,79.1,49.7,67.1,5,1
